,x_top_left,y_top_left,x_top_right,y_top_right,x_bot_left,y_bot_left,x_bot_right,y_bot_right,custom_center_x,custom_center_y,left_height,top_width,right_height,bot_width,dist_to_top_left,dist_to_bot_left,dist_to_top_right,dist_to_bot_right,smoothed_y_top_left,smoothed_y_top_right,smoothed_y_bot_left,smoothed_y_bot_right,cos_alpha,angle,smoothed_center_x,smoothed_center_y
350,1047.74842,183.71426,1243.19869,195.0812,1046.11138,211.86549,1241.56166,223.23243,1144.65504,203.47334,28.20797,195.72079,28.20797,195.72079,98.90053,98.90035,98.90035,98.90053,183.64085,195.07047,211.88016,223.23493,1e-05,89.99964,1144.57359,203.47531
351,1046.10159,183.87561,1241.19253,195.18823,1044.47021,212.0132,1239.56115,223.32582,1142.83137,203.60072,28.18643,195.38465,28.18643,195.38465,98.72047,98.72025,98.72025,98.72047,183.77848,195.19171,211.98532,223.34476,1e-05,89.99956,1142.74561,203.58852
352,1044.40781,184.06147,1239.15222,195.33519,1042.78047,212.17794,1237.52488,223.45166,1140.96635,203.75656,28.17662,195.03431,28.17662,195.03431,98.54668,98.54636,98.54636,98.54668,183.93081,195.33097,212.11142,223.48158,1e-05,89.99935,1140.91581,203.7212
353,1042.68096,184.23131,1237.02805,195.50041,1041.05088,212.34596,1235.39796,223.61506,1139.03946,203.92318,28.17711,194.68161,28.17711,194.68161,98.35004,98.34991,98.34992,98.35004,184.09354,195.48553,212.24763,223.63831,0.0,89.99974,1139.10682,203.86658
354,1040.90366,184.40226,1234.8324,195.68848,1039.26712,212.52105,1233.19585,223.80726,1137.04976,204.10476,28.1828,194.34704,28.1828,194.34704,98.14408,98.14418,98.14418,98.14408,184.26466,195.65217,212.39324,223.81058,-0.0,90.0002,1137.309,204.0227
355,1039.06904,184.53396,1232.71506,195.89013,1037.41925,212.66215,1231.06528,224.01832,1135.06716,204.27614,28.18571,193.99838,28.18571,193.99838,98.0071,98.00734,98.00734,98.0071,184.44395,195.82789,212.54785,223.98994,-1e-05,90.00048,1135.51461,204.18787
356,1037.14011,184.69124,1230.44474,196.05894,1035.48511,212.83014,1228.78974,224.19784,1132.96493,204.44454,28.18137,193.6437,28.18137,193.64371,97.8396,97.83983,97.83983,97.8396,184.63162,196.00803,212.71143,224.17324,-1e-05,90.00047,1133.73767,204.35973
357,1035.11889,184.82445,1228.0352,196.24417,1033.45151,212.98857,1226.36782,224.40828,1130.74336,204.61637,28.16726,193.2874,28.16726,193.28741,97.65121,97.6514,97.6514,97.65121,184.82611,196.19584,212.87956,224.35581,-1e-05,90.0004,1131.95636,204.5377
358,1033.06758,184.99454,1225.6432,196.44051,1031.39503,213.13151,1223.97066,224.57749,1128.51912,204.78601,28.14859,192.92316,28.14859,192.92316,97.48179,97.48198,97.48197,97.48179,185.02003,196.39135,213.04756,224.54176,-1e-05,90.00039,1130.14145,204.71946
359,1031.00408,185.17713,1223.20185,196.64449,1029.3261,213.29833,1221.52388,224.76569,1126.26398,204.97141,28.12013,192.55827,28.12013,192.55828,97.29472,97.29486,97.29485,97.29472,185.21508,196.59433,213.21781,224.72316,-0.0,90.00029,1128.29494,204.90607
360,1028.8115,185.37877,1220.62809,196.84649,1027.13204,213.46955,1218.94863,224.93727,1123.88007,205.15802,28.08805,192.19001,28.08805,192.19002,97.10433,97.10439,97.10438,97.10433,185.4095,196.8037,213.38525,224.89957,-0.0,90.00013,1126.36558,205.09447
361,1026.53192,185.60636,1217.98012,197.07936,1024.85198,213.63866,1216.30019,225.11166,1121.41605,205.35901,28.04731,191.82768,28.04731,191.82769,96.91834,96.91839,96.91837,96.91834,185.6006,197.01724,213.54796,225.06873,-0.0,90.00009,1124.30144,205.2826
362,1024.40698,185.86071,1215.51866,197.27896,1022.7361,213.82666,1213.84779,225.24492,1119.12738,205.55281,27.99967,191.4561,27.99967,191.4561,96.74572,96.74574,96.74572,96.74572,185.79248,197.23453,213.70897,225.22849,-0.0,90.00004,1122.0649,205.47175
363,1022.16586,186.03927,1212.93014,197.52386,1020.48733,213.92116,1211.25162,225.40576,1116.70874,205.72251,27.94285,191.08116,27.94285,191.08116,96.57011,96.57006,96.57006,96.57011,185.98751,197.45666,213.86838,225.38328,0.0,89.9999,1119.57297,205.66252
364,1020.0588,186.31501,1210.24517,197.77434,1018.38582,214.08581,1208.5722,225.54514,1114.3155,205.93007,27.88009,190.6824,27.88009,190.6824,96.27604,96.27575,96.27573,96.27604,186.19431,197.68265,214.03465,225.53969,1e-05,89.99939,1116.74417,205.85865
365,1017.69832,186.5807,1207.53591,197.99944,1016.03148,214.29648,1205.86907,225.71522,1111.7837,206.14796,27.81522,190.25349,27.81522,190.2535,96.09857,96.09831,96.0983,96.09857,186.41268,197.91196,214.20889,225.7045,1e-05,89.99946,1113.51115,206.06042
