,x_top_left,y_top_left,x_top_right,y_top_right,x_bot_left,y_bot_left,x_bot_right,y_bot_right
98,439.2257080078125,196.54306030273438,622.275390625,205.81143188476562,437.833984375,224.02957153320312,620.8836669921875,233.29794311523438
99,437.18096923828125,196.44871520996094,620.28515625,205.7788543701172,435.7773132324219,223.9950408935547,618.8815307617188,233.32518005371094
100,436.22198486328125,196.56109619140625,619.264404296875,205.71322631835938,434.8379211425781,224.24191284179688,617.8803100585938,233.39404296875
101,434.23077392578125,196.4990692138672,617.3645629882812,205.89051818847656,432.81964111328125,224.0164337158203,615.9534301757812,233.4078826904297
102,432.22186279296875,196.60716247558594,616.066162109375,205.89219665527344,430.8286437988281,224.19337463378906,614.6729125976562,233.47840881347656
103,431.63873291015625,196.54559326171875,615.2839965820312,205.96328735351562,430.22100830078125,224.19082641601562,613.8662719726562,233.6085205078125
104,430.2308349609375,196.55746459960938,613.3599853515625,206.0706787109375,428.7969970703125,224.15829467773438,611.9261474609375,233.6715087890625
105,428.24462890625,196.41305541992188,612.374267578125,206.2332763671875,426.7718811035156,224.02783203125,610.9014892578125,233.84805297851562
106,427.502197265625,196.62106323242188,611.4586181640625,205.52215576171875,426.1458740234375,224.6522216796875,610.102294921875,233.55331420898438
107,427.3507080078125,196.63577270507812,611.0770263671875,205.3846435546875,426.0204162597656,224.57241821289062,609.7467041015625,233.3212890625
108,428.28662109375,196.5913543701172,612.1480102539062,206.3323516845703,426.81781005859375,224.3148651123047,610.67919921875,234.0558624267578
109,428.363525390625,196.50836181640625,613.0164794921875,206.84893798828125,426.8173828125,224.11776733398438,611.4703369140625,234.45834350585938
110,429.44305419921875,197.25027465820312,612.9851684570312,206.5435791015625,428.05072021484375,224.7493896484375,611.5928344726562,234.04269409179688
111,431.41156005859375,197.1795654296875,614.0635375976562,206.79281616210938,429.96405029296875,224.68234252929688,612.6160278320312,234.29559326171875
112,432.254150390625,197.17127990722656,615.220947265625,206.8011016845703,430.8038330078125,224.7265167236328,613.7706298828125,234.35633850097656
113,434.177734375,197.49000549316406,615.927001953125,206.69252014160156,432.7783203125,225.1280059814453,614.527587890625,234.3305206298828
114,436.20654296875,197.24212646484375,616.9794921875,207.17471313476562,434.6949768066406,224.75247192382812,615.4678955078125,234.68505859375
